firstname,lastname,email,phone,lifecyclestage,hs_lead_status,deal_stage,unsubscribed_from_all_email,hs_email_open,hs_email_click,hs_analytics_last_visit_timestamp,zoho_last_open_date,zoho_lead_status,zoho_id,daysmart_id,master_id,last_appointment_date,daysmart_status,lifetime_value,total_appointments,loyalty_points,primary_service,zerobounce_status,zerobounce_score,email_verification_status,service_interests,data_rule_applied,source_system,record_type,import_date
Jennifer,Cole,lisa02@example.net,(654) 235-1161,customer,Converted,Value Proposition,False,3,0,2025-12-23,2025-12-23,Converted,ZCR-100001,DS-200001,DS-200001,2021-06-14,LIVE,1010.21,4,1330,Keratin Treatment,unknown,4,Valid,Course; Keratin Treatment; New Customer,Pass,DaySmart,Matched — Both Systems,2026-04-14
Sarah,Cordova,wsmith@example.com,(096) 823-0113,customer,New,Value Proposition,False,93,21,2026-02-17,2026-02-17,New,ZCR-100025,DS-204921,DS-204921,2020-05-24,LIVE,1318.29,77,641,Haircut,valid,10,Valid,Course; Education; Haircut; High Value,Pass,DaySmart,Matched — Both Systems,2026-04-14
Michael,Chambers,xcarson@example.org,(370) 985-9317,customer,Converted,Closed Lost,False,33,2,2026-02-17,2026-02-17,Converted,ZCR-100049,DS-200053,DS-200053,2019-06-14,LIVE,1207.95,3,969,Massage,catch-all,6,Valid,Course; Massage; Retail,Pass,DaySmart,Matched — Both Systems,2026-04-14
Lawrence,Perry,kariwilson@example.com,(149) 784-0369,customer,Working,Value Proposition,False,0,0,2025-09-08,2025-09-08,Working,ZCR-100059,DS-200064,DS-200064,2018-07-19,ARCHIVE,3628.43,62,2000,Massage,valid,10,Valid,Course; Massage,Pass,DaySmart,Matched — Both Systems,2026-04-14
Charles,Keller,roberthill@example.net,(926) 870-5685,customer,Converted,Closed Lost,False,117,17,2026-01-11,2026-01-11,Converted,ZCR-100102,DS-200111,DS-200111,2010-10-02,ARCHIVE,500.89,12,1513,Color Treatment,valid,10,Valid,Color Treatment; Corporate; Hospitality; Newsletter,Pass,DaySmart,Matched — Both Systems,2026-04-14
Kayla,Mccullough,taylorkaren@example.com,(042) 232-5367,customer,Qualified,Proposal,False,37,1,2025-05-11,2025-05-11,Qualified,ZCR-100126,DS-200139,DS-200139,2014-08-27,ARCHIVE,1943.11,48,167,Highlights,unknown,4,Valid,Beauty; Healthcare; High Value; Highlights,Pass,DaySmart,Matched — Both Systems,2026-04-14
Ashley,Poole,imiller@example.net,(696) 540-6500,customer,New,Closed Won,False,60,1,2025-05-31,2025-05-31,New,ZCR-100134,DS-203944,DS-203944,2024-04-18,LIVE,1969.34,77,1509,Massage,valid,10,Valid,Course; High Value; Massage,Pass,DaySmart,Matched — Both Systems,2026-04-14
Karen,Nguyen,egarcia@example.net,(025) 508-4323,customer,Unqualified,Closed Won,False,94,23,2026-02-06,2026-02-06,Unqualified,ZCR-100152,DS-205696,DS-205696,2026-03-13,LIVE,433.21,18,1348,Manicure,valid,10,Valid,Education; High Value; Manicure,Pass,DaySmart,Matched — Both Systems,2026-04-14
Michael,Roberson,timothyfreeman@example.com,(701) 450-8993,customer,Converted,Qualification,False,19,1,2025-08-26,2025-08-26,Converted,ZCR-100176,DS-200193,DS-200193,2017-11-21,ARCHIVE,1111.26,48,273,Manicure,valid,10,Valid,Healthcare; Manicure,Pass,DaySmart,Matched — Both Systems,2026-04-14
Stephanie,Atkinson,hessbeth@example.net,(308) 488-7256,customer,Converted,Needs Analysis,False,65,36,2025-12-11,2025-12-11,Converted,ZCR-100196,DS-200215,DS-200215,2010-08-29,ARCHIVE,704.71,1,1291,Haircut,valid,10,Valid,Haircut; Repeat; Retail; VIP; Wellness,Pass,DaySmart,Matched — Both Systems,2026-04-14
Mr.,Daniel Freeman,bakerjim@example.net,(385) 677-0051,customer,Converted,Prospecting,False,100,32,2025-07-04,2025-07-04,Converted,ZCR-100198,DS-200217,DS-200217,2022-01-30,LIVE,4034.72,65,1863,Haircut,valid,10,Valid,Beauty; Course; Haircut; Newsletter,Pass,DaySmart,Matched — Both Systems,2026-04-14
Christy,Payne,ana92@example.net,(069) 804-2043,customer,Unqualified,Closed Lost,False,87,15,2026-03-28,2026-03-28,Unqualified,ZCR-100241,DS-200263,DS-200263,2020-02-24,LIVE,1925.95,39,1665,Pedicure,valid,10,Valid,Course; Pedicure; Repeat; VIP,Pass,DaySmart,Matched — Both Systems,2026-04-14
Stephanie,Herrera,steven60@example.net,(495) 880-3955,customer,Unqualified,Qualification,False,11,6,2025-05-06,2025-05-06,Unqualified,ZCR-100258,DS-200281,DS-200281,2023-03-22,LIVE,4915.92,27,859,Color Treatment,valid,10,Valid,Color Treatment; New Customer; Retail,Pass,DaySmart,Matched — Both Systems,2026-04-14
Nicholas,Fox,steven18@example.net,(137) 189-4905,customer,Unqualified,Prospecting,False,93,14,2026-04-12,2026-04-12,Unqualified,ZCR-100272,DS-200296,DS-200296,2018-12-11,ARCHIVE,2970.75,23,1651,Facial,valid,10,Valid,Facial; Hospitality; Retail,Pass,DaySmart,Matched — Both Systems,2026-04-14
Lance,Matthews,jackbell@example.org,(249) 552-8938,customer,Converted,Closed Won,False,3,0,2025-10-14,2025-10-14,Converted,ZCR-100310,DS-200339,DS-200339,2017-01-10,ARCHIVE,531.49,40,1030,Pedicure,valid,10,Valid,High Value; Pedicure; Wellness,Pass,DaySmart,Matched — Both Systems,2026-04-14
Julie,Castro,chenderson@example.org,(242) 044-8207,customer,New,Closed Won,False,33,14,2025-07-26,2025-07-26,New,ZCR-100324,DS-200354,DS-200354,2025-12-07,LIVE,3325.28,62,1313,Massage,valid,10,Valid,Massage; New Customer; Retail,Pass,DaySmart,Matched — Both Systems,2026-04-14
Edward,Brown,qmosley@example.net,(162) 319-8189,customer,Qualified,Closed Won,False,98,43,2025-06-16,2025-06-16,Qualified,ZCR-100325,DS-200355,DS-200355,2016-11-15,ARCHIVE,4262.32,65,1780,Facial,valid,10,Valid,Facial; Fitness; Professional; Repeat; VIP,Pass,DaySmart,Matched — Both Systems,2026-04-14
Cynthia,Martinez,mark96@example.net,(363) 212-3476,customer,New,Needs Analysis,False,117,5,2026-02-13,2026-02-13,New,ZCR-100326,DS-200356,DS-200356,2022-09-17,LIVE,3223.72,29,825,Highlights,unknown,4,Valid,Course; Highlights; Referral; Retail,Pass,DaySmart,Matched — Both Systems,2026-04-14
