contact_id,daysmart_id,first_name,last_name,email,phone,last_appointment_date,primary_service,total_appointments,lifetime_spend,loyalty_points,sms_opt_in,email_opt_in,notes,zerobounce_status,data_status,import_date
DS-200000,DS-200000,Allison,Hill,donaldgarcia@example.net,(819) 600-1338,2019-04-13,Massage,18,3389.96,1827,Yes,No,Prefers afternoons,valid,LIVE,2026-04-14
DS-200001,DS-200001,Jennifer,Cole,lisa02@example.net,(654) 235-1161,2021-06-14,Keratin Treatment,4,1010.21,1330,No,Yes,Long-time client,unknown,LIVE,2026-04-14
DS-204921,DS-204921,Sarah,Cordova,wsmith@example.com,(096) 823-0113,2020-05-24,Haircut,77,1318.29,641,Yes,Yes,Referred by friend,valid,LIVE,2026-04-14
DS-200046,DS-200046,Ariana,Lozano,bowenrobert@example.net,(217) 459-6158,2022-03-16,Pedicure,41,421.28,308,Yes,No,First-time visitor,valid,LIVE,2026-04-14
DS-200053,DS-200053,Michael,Chambers,xcarson@example.org,(370) 985-9317,2019-06-14,Massage,3,1207.95,969,Yes,Yes,Long-time client,catch-all,LIVE,2026-04-14
DS-203533,DS-203533,Edwin,Bryant,jford@example.net,(746) 793-0721,2021-12-15,Massage,33,2300.93,1707,No,No,Prefers afternoons,valid,LIVE,2026-04-14
DS-200094,DS-200094,Diana,Hays,andersoncolin@example.com,(585) 239-8680,2022-06-19,Keratin Treatment,47,468.86,604,No,No,Allergic to latex,valid,LIVE,2026-04-14
DS-203944,DS-203944,Ashley,Poole,imiller@example.net,(696) 540-6500,2024-04-18,Massage,77,1969.34,1509,Yes,Yes,Referred by friend,valid,LIVE,2026-04-14
DS-200155,DS-200155,Dean,Edwards,vhaynes@example.com,(574) 313-2912,2021-10-19,Facial,64,1947.2,1150,Yes,No,Referred by friend,valid,LIVE,2026-04-14
DS-205696,DS-205696,Karen,Nguyen,egarcia@example.net,(025) 508-4323,2026-03-13,Manicure,18,433.21,1348,Yes,Yes,Referred by friend,valid,LIVE,2026-04-14
DS-200172,DS-200172,Scott,Johnson,davidtodd@example.org,(233) 206-1632,2023-05-02,Keratin Treatment,79,660.74,198,No,No,Referred by friend,valid,LIVE,2026-04-14
