master_id,zoho_id,daysmart_id,first_name,last_name,email,phone,last_known_appointment,archive_last_appt,archive_appt_count,archive_total_spent,archive_last_service,daysmart_status,zoho_lead_status,zerobounce_status,rule_applied,reason_archived,email_opens,email_clicks,source_system,record_type,archived_date
DS-200064,ZCR-100059,DS-200064,Lawrence,Perry,kariwilson@example.com,(149) 784-0369,2018-07-19,2012-01-17,2,293.67,Facial,ARCHIVE,Working,valid,Pass,Pre-2019 last appointment,0,0,DaySmart,Matched — Both Systems,2026-04-14
DS-200111,ZCR-100102,DS-200111,Charles,Keller,roberthill@example.net,(926) 870-5685,2010-10-02,2018-03-03,5,699.44,Manicure,ARCHIVE,Converted,valid,Pass,Pre-2019 last appointment,117,17,DaySmart,Matched — Both Systems,2026-04-14
DS-200139,ZCR-100126,DS-200139,Kayla,Mccullough,taylorkaren@example.com,(042) 232-5367,2014-08-27,2015-04-13,2,491.55,Massage,ARCHIVE,Qualified,unknown,Pass,Pre-2019 last appointment,37,1,DaySmart,Matched — Both Systems,2026-04-14
DS-200181,ZCR-100165,DS-200181,Scott,Patrick,rguerrero@example.org,(074) 466-6099,2017-11-27,,0,0.0,,ARCHIVE,New,valid,Unsubscribe Rule,Pre-2019 last appointment,94,2,DaySmart,Matched — Both Systems,2026-04-14
DS-200193,ZCR-100176,DS-200193,Michael,Roberson,timothyfreeman@example.com,(701) 450-8993,2017-11-21,2017-11-12,3,314.85,Blowout,ARCHIVE,Converted,valid,Pass,Pre-2019 last appointment,19,1,DaySmart,Matched — Both Systems,2026-04-14
DS-200215,ZCR-100196,DS-200215,Stephanie,Atkinson,hessbeth@example.net,(308) 488-7256,2010-08-29,,0,0.0,,ARCHIVE,Converted,valid,Pass,Pre-2019 last appointment,65,36,DaySmart,Matched — Both Systems,2026-04-14
DS-207751,ZCR-100208,DS-207751,Tracy,Gardner,mgonzales@example.net,(148) 635-6230,2012-01-20,2012-09-11,1,38.76,Highlights,ARCHIVE,Qualified,valid,Unsubscribe Rule,Pre-2019 last appointment,101,60,DaySmart,Matched — Both Systems,2026-04-14
DS-200287,ZCR-100263,DS-200287,Stephanie,Soto,tjensen@example.com,(381) 792-1717,2013-12-28,2011-05-10,1,209.35,Manicure,ARCHIVE,Working,valid,Unsubscribe Rule,Pre-2019 last appointment,77,23,DaySmart,Matched — Both Systems,2026-04-14
DS-200296,ZCR-100272,DS-200296,Nicholas,Fox,steven18@example.net,(137) 189-4905,2018-12-11,2018-03-06,8,1646.28,Highlights,ARCHIVE,Unqualified,valid,Pass,Pre-2019 last appointment,93,14,DaySmart,Matched — Both Systems,2026-04-14
DS-200314,ZCR-100288,DS-200314,Ms.,Julie Sims,joshualee@example.org,(772) 200-5436,2015-01-14,2018-09-22,1,141.41,Blowout,ARCHIVE,Converted,valid,Unsubscribe Rule,Pre-2019 last appointment,94,9,DaySmart,Matched — Both Systems,2026-04-14
DS-202626,ZCR-100290,DS-202626,Rita,Williams,bbrown@example.org,(022) 212-6839,2012-03-13,,0,0.0,,ARCHIVE,Qualified,valid,Unsubscribe Rule,Pre-2019 last appointment,105,31,DaySmart,Matched — Both Systems,2026-04-14
DS-200339,ZCR-100310,DS-200339,Lance,Matthews,jackbell@example.org,(249) 552-8938,2017-01-10,2017-08-20,2,487.27,Keratin Treatment,ARCHIVE,Converted,valid,Pass,Pre-2019 last appointment,3,0,DaySmart,Matched — Both Systems,2026-04-14
DS-200355,ZCR-100325,DS-200355,Edward,Brown,qmosley@example.net,(162) 319-8189,2016-11-15,2017-07-07,3,587.97,Manicure,ARCHIVE,Qualified,valid,Pass,Pre-2019 last appointment,98,43,DaySmart,Matched — Both Systems,2026-04-14
DS-200387,ZCR-100355,DS-200387,Mathew,Clay,zterry@example.net,(634) 108-5628,2012-10-23,2015-12-29,2,233.92,Facial,ARCHIVE,Working,valid,Pass,Pre-2019 last appointment,80,19,DaySmart,Matched — Both Systems,2026-04-14
DS-200485,ZCR-100443,DS-200485,Diana,Anderson,dayjohn@example.org,(810) 595-5184,2015-11-16,2017-06-19,3,371.69,Blowout,ARCHIVE,Unqualified,catch-all,Pass,Pre-2019 last appointment,110,49,DaySmart,Matched — Both Systems,2026-04-14
DS-200497,ZCR-100454,DS-200497,Richard,Dominguez,daniel00@example.net,(282) 066-7849,2013-10-04,2014-12-29,3,325.61,Pedicure,ARCHIVE,Qualified,valid,Unsubscribe Rule,Pre-2019 last appointment,15,15,DaySmart,Matched — Both Systems,2026-04-14
DS-200503,ZCR-100459,DS-200503,Zachary,Lawson,ashleygamble@example.org,(024) 817-1752,2010-10-05,2017-12-24,5,1083.09,Haircut,ARCHIVE,Unqualified,valid,Unsubscribe Rule,Pre-2019 last appointment,51,27,DaySmart,Matched — Both Systems,2026-04-14
DS-200837,ZCR-100497,DS-200837,Olivia,Reese,hdavis@example.com,(285) 969-3259,2012-01-06,2011-12-16,3,368.08,Consultation,ARCHIVE,Working,valid,Pass,Pre-2019 last appointment,43,18,DaySmart,Matched — Both Systems,2026-04-14
DS-200572,ZCR-100523,DS-200572,Lisa,Hopkins,mstewart@example.net,(435) 353-7513,2016-01-11,2018-12-08,5,915.47,Haircut,ARCHIVE,Converted,valid,Unsubscribe Rule,Pre-2019 last appointment,97,59,DaySmart,Matched — Both Systems,2026-04-14
DS-200605,ZCR-100553,DS-200605,Paul,Massey,collinsann@example.org,(579) 197-1112,2015-07-13,2013-09-27,1,277.8,Consultation,ARCHIVE,New,valid,Unsubscribe Rule,Pre-2019 last appointment,110,58,DaySmart,Matched — Both Systems,2026-04-14
DS-200606,ZCR-100554,DS-200606,Pamela,Kramer,danastevens@example.net,(343) 240-6424,2014-03-09,2018-12-22,5,962.58,Massage,ARCHIVE,New,valid,Unsubscribe Rule,Pre-2019 last appointment,115,39,DaySmart,Matched — Both Systems,2026-04-14
DS-200623,ZCR-100570,DS-200623,Gilbert,Reed,vhernandez@example.com,(382) 646-0917,2013-10-19,2013-02-25,2,341.93,Consultation,ARCHIVE,Converted,do_not_mail,Unsubscribe Rule,Pre-2019 last appointment,1,0,DaySmart,Matched — Both Systems,2026-04-14
DS-200624,ZCR-100571,DS-200624,Mrs.,Dorothy Stewart,njohnson@example.net,(295) 966-0487,2016-08-28,,0,0.0,,ARCHIVE,Qualified,valid,Unsubscribe Rule,Pre-2019 last appointment,104,17,DaySmart,Matched — Both Systems,2026-04-14
DS-200626,ZCR-100573,DS-200626,Madeline,Fields,zperez@example.com,(747) 226-4085,2010-10-07,2015-11-30,2,262.43,Manicure,ARCHIVE,New,valid,Unsubscribe Rule,Pre-2019 last appointment,32,16,DaySmart,Matched — Both Systems,2026-04-14
DS-205457,ZCR-100597,DS-205457,Rebecca,Wheeler,taylorrachel@example.com,(591) 761-2143,2015-02-28,2011-06-19,1,219.28,Keratin Treatment,ARCHIVE,New,valid,Pass,Pre-2019 last appointment,112,30,DaySmart,Matched — Both Systems,2026-04-14
DS-200667,ZCR-100612,DS-200667,Mark,Simmons,nancyholt@example.com,(438) 119-9537,2018-07-26,2014-09-30,3,589.56,Haircut,ARCHIVE,New,valid,Unsubscribe Rule,Pre-2019 last appointment,50,4,DaySmart,Matched — Both Systems,2026-04-14
