Customer_ID,Full_Name,Email,Phone,contact_last_appt,Primary_Service,Total_Appointments,Total_Spent_USD,Loyalty_Points,SMS_Opt_In,Email_Opt_In,Source_System,max_appt_date_from_history,history_appt_count,no_show_count,total_revenue_from_history,resolved_last_date,data_status,last_appt_year
DS-200000,Brian Stewart,wilsonlauren@example.com,(595) 445-9069,2025-09-16,Pedicure,55,2719.05,518,Yes,Yes,DaySmart,2025-11-16,7,2,1225.01,2025-11-16,LIVE,2025
DS-200001,Scott Ross,kylie67@example.net,(675) 664-9279,2024-04-20,Highlights,49,1695.78,1037,No,Yes,DaySmart,2024-11-13,4,0,776.94,2024-11-13,LIVE,2024
DS-200002,Janet Lee,ingramrussell@example.com,(204) 795-6231,2024-05-10,Color Treatment,40,4236.87,1392,Yes,No,DaySmart,2025-09-22,8,0,1206.02,2025-09-22,LIVE,2025
DS-200003,Sarah Weber,tammywinters@example.org,(840) 925-1359,2024-04-22,Blowout,46,4748.59,1136,Yes,Yes,DaySmart,2023-11-30,11,2,1433.77,2023-11-30,LIVE,2023
DS-200004,Christopher Jackson,velezanthony@example.org,(323) 262-0716,2025-10-25,Blowout,64,3456.35,218,Yes,Yes,DaySmart,2024-05-16,7,0,1163.05,2024-05-16,LIVE,2024
DS-200005,Betty Alexander,taylorchristopher@example.net,(926) 163-9684,2025-06-06,Massage,17,296.91,887,Yes,Yes,DaySmart,2021-07-30,1,0,64.38,2021-07-30,LIVE,2021
DS-200006,Devon Williams,upineda@example.org,(376) 169-2725,2025-07-14,Pedicure,35,608.86,1454,Yes,No,DaySmart,2026-03-18,12,2,1986.31,2026-03-18,LIVE,2026
DS-200007,Jennifer Evans,michael87@example.com,(991) 457-6433,2024-10-31,Manicure,11,1885.53,1347,Yes,Yes,DaySmart,2022-01-13,1,0,173.43,2022-01-13,LIVE,2022
DS-200008,Eric Thomas,marmstrong@example.com,(252) 414-2680,2024-06-02,Color Treatment,16,2881.32,299,Yes,No,DaySmart,2026-04-07,5,0,1113.44,2026-04-07,LIVE,2026
DS-200009,James Duarte,timothyolson@example.com,(028) 546-3016,2024-04-16,Massage,73,3285.91,112,Yes,Yes,DaySmart,2022-10-30,3,1,462.71,2022-10-30,LIVE,2022
DS-200010,James Sanchez,hsims@example.org,(981) 192-3914,2026-02-09,Haircut,58,3431.71,1554,Yes,Yes,DaySmart,2025-05-01,11,2,1414.33,2025-05-01,LIVE,2025
DS-200011,Maurice White,seanroberts@example.org,(798) 568-4785,2024-09-28,Pedicure,38,2402.46,359,Yes,No,DaySmart,2025-12-18,6,2,1075.32,2025-12-18,LIVE,2025
DS-200012,Mr. Justin Jimenez Jr.,lmcdonald@example.org,(673) 065-9173,2025-07-28,Consultation,26,3823.03,596,Yes,Yes,DaySmart,2025-10-13,12,1,1709.93,2025-10-13,LIVE,2025
DS-200013,Lisa Arellano,bradley78@example.net,(171) 895-4886,2024-09-20,Facial,4,2213.8,754,Yes,No,DaySmart,2019-12-27,2,0,118.59,2019-12-27,LIVE,2019
DS-200014,Amy Snyder,gina06@example.net,(688) 875-5543,2026-03-06,Consultation,13,1509.32,246,Yes,No,DaySmart,2012-06-11,1,0,113.74,2012-06-11,ARCHIVE,2012
DS-200015,Mitchell Hicks,charles15@example.net,(457) 784-1988,2024-09-11,Blowout,34,180.29,241,No,No,DaySmart,2025-10-17,11,1,1712.52,2025-10-17,LIVE,2025
DS-200016,Laura King,michael14@example.net,(742) 267-5564,2025-04-01,Keratin Treatment,61,3074.46,1137,No,No,DaySmart,2024-11-14,5,0,925.22,2024-11-14,LIVE,2024
DS-200017,Joseph Pineda,gutierrezmichael@example.org,(752) 949-5108,2025-12-27,Massage,24,370.6,750,No,Yes,DaySmart,2026-03-19,12,3,1357.6,2026-03-19,LIVE,2026
DS-200018,James Freeman,brett91@example.net,(223) 526-3798,2026-04-10,Highlights,30,4480.25,154,Yes,Yes,DaySmart,2025-03-22,8,0,1414.45,2025-03-22,LIVE,2025
DS-200019,Donna Diaz,leonardmatthew@example.org,(523) 072-0190,2024-06-28,Blowout,6,876.2,428,No,Yes,DaySmart,2025-11-22,8,1,1071.84,2025-11-22,LIVE,2025
DS-200020,Jacqueline Williamson,denise82@example.org,(064) 409-6530,2025-05-18,Highlights,41,2890.3,494,No,Yes,DaySmart,2024-04-12,3,0,705.73,2024-04-12,LIVE,2024
DS-200021,Scott Davis,russellgabrielle@example.net,(945) 610-7047,2024-08-31,Highlights,28,1661.99,1729,Yes,No,DaySmart,2017-12-25,1,0,68.98,2017-12-25,ARCHIVE,2017
DS-200022,Kirk Bailey,meganwood@example.com,(328) 772-1168,2025-02-16,Pedicure,18,2005.22,428,No,Yes,DaySmart,2025-08-20,10,1,1952.42,2025-08-20,LIVE,2025
DS-200023,Richard Morrison,barbara30@example.net,(226) 297-9851,2024-12-09,Consultation,12,1566.64,539,Yes,Yes,DaySmart,2025-03-08,10,1,1207.8,2025-03-08,LIVE,2025
DS-200024,Phillip Cook,bryan17@example.com,(391) 496-3221,2025-02-20,Highlights,73,3381.0,575,No,No,DaySmart,2023-12-11,3,1,613.08,2023-12-11,LIVE,2023
DS-200025,Victoria Owens,hmcintosh@example.com,(542) 420-2554,2024-12-31,Color Treatment,58,3037.82,1258,No,No,DaySmart,2025-04-11,9,1,1390.65,2025-04-11,LIVE,2025
DS-200026,Jacqueline Turner,carmenmccormick@example.net,(548) 082-9314,2026-04-07,Blowout,12,4515.16,1270,No,No,DaySmart,2023-11-13,5,3,1196.07,2023-11-13,LIVE,2023
DS-200027,Darren Perkins DDS,johnsoncasey@example.net,(794) 529-9285,2025-01-20,Haircut,76,559.2,1605,No,No,DaySmart,2025-08-12,4,1,822.63,2025-08-12,LIVE,2025
DS-200028,Joan Kennedy,georgekelly@example.com,(382) 425-9006,2024-08-04,Consultation,40,1908.45,666,No,Yes,DaySmart,2026-04-08,12,1,1678.47,2026-04-08,LIVE,2026
DS-200029,Samuel Contreras,hmolina@example.com,(394) 222-8951,2024-11-23,Pedicure,69,2231.55,1954,No,Yes,DaySmart,2024-02-27,4,1,774.98,2024-02-27,LIVE,2024
DS-200030,Jerry Johnson,davenporttimothy@example.org,(028) 060-8388,2025-11-02,Consultation,36,4266.44,1263,Yes,Yes,DaySmart,2025-07-03,10,2,1582.47,2025-07-03,LIVE,2025
DS-200031,Jacob Anderson,kevinbanks@example.com,(650) 184-5087,2025-05-12,Facial,45,4955.46,240,Yes,No,DaySmart,2022-11-09,9,4,1604.76,2022-11-09,LIVE,2022
DS-200032,Christine Snyder,colekayla@example.com,(460) 579-3741,2025-01-06,Keratin Treatment,48,4598.49,1067,Yes,No,DaySmart,2025-08-09,2,0,164.77,2025-08-09,LIVE,2025
DS-200033,Nicholas Morris,angela29@example.org,(840) 565-4081,2025-10-21,Manicure,9,1766.38,1037,Yes,No,DaySmart,2025-10-17,10,2,1840.77,2025-10-17,LIVE,2025
DS-200034,Jonathan Mckay,amanda42@example.com,(636) 947-3593,2026-02-12,Haircut,30,4736.67,241,No,Yes,DaySmart,2023-05-20,2,0,260.54,2023-05-20,LIVE,2023
DS-200035,Nathan Johnson,kingryan@example.net,(758) 901-5433,2025-07-31,Blowout,59,3093.78,24,Yes,Yes,DaySmart,2025-07-18,1,0,80.91,2025-07-18,LIVE,2025
DS-200036,David Munoz,taylorjason@example.org,(358) 311-9661,2025-12-23,Facial,67,279.75,913,Yes,Yes,DaySmart,2026-01-19,6,0,563.82,2026-01-19,LIVE,2026
DS-200037,Daniel Brown,croberts@example.net,(361) 437-8640,2025-11-30,Manicure,20,3184.74,1584,Yes,No,DaySmart,2024-06-06,10,2,1364.05,2024-06-06,LIVE,2024
DS-200038,Cheryl Kelley,george15@example.com,(703) 770-3297,2025-03-02,Color Treatment,67,2311.93,1533,Yes,No,DaySmart,2025-08-20,11,0,1495.47,2025-08-20,LIVE,2025
DS-200039,Angel Kelly,cmiller@example.org,(431) 157-5080,2024-11-21,Color Treatment,22,2746.2,1736,No,Yes,DaySmart,2025-10-13,3,0,542.8,2025-10-13,LIVE,2025
DS-200040,Brandi Golden,anthony88@example.org,(515) 049-9767,2025-01-18,Massage,16,2083.32,396,Yes,No,DaySmart,2021-11-13,9,0,1148.15,2021-11-13,LIVE,2021
DS-200041,Tyler Morris,terrybilly@example.org,(035) 850-3700,2024-04-18,Manicure,76,1094.01,984,Yes,Yes,DaySmart,2023-09-01,2,0,163.74,2023-09-01,LIVE,2023
DS-200042,Dean Goodwin,sherry04@example.org,(103) 355-1162,2024-07-05,Facial,16,157.49,1536,No,Yes,DaySmart,2026-03-23,9,0,1027.34,2026-03-23,LIVE,2026
DS-200043,Blake Orozco,briananthony@example.net,(115) 106-6093,2025-10-21,Consultation,21,2047.78,641,No,Yes,DaySmart,2025-06-17,11,2,2131.85,2025-06-17,LIVE,2025
DS-200044,Roberto Willis,christopher49@example.org,(444) 859-1346,2025-04-12,Haircut,26,4321.9,460,No,No,DaySmart,2025-08-30,11,1,1866.95,2025-08-30,LIVE,2025
DS-200045,Angela Moon,stephensstephen@example.com,(686) 914-6876,2025-03-11,Pedicure,27,2384.66,1059,Yes,No,DaySmart,2025-12-24,8,1,1201.08,2025-12-24,LIVE,2025
DS-200046,Aaron Curtis,umorales@example.com,(516) 580-5340,2025-06-15,Color Treatment,68,3972.89,1692,No,No,DaySmart,2024-07-23,10,3,1518.1,2024-07-23,LIVE,2024
DS-200047,Mr. Jose Williams II,frostmatthew@example.com,(322) 051-0052,2025-08-22,Haircut,30,187.38,160,Yes,No,DaySmart,2025-02-16,4,0,840.2,2025-02-16,LIVE,2025
DS-200048,Stacie Webster,eandrews@example.com,(048) 872-8167,2024-06-06,Pedicure,38,3359.64,1655,No,No,DaySmart,2024-11-08,3,0,412.31,2024-11-08,LIVE,2024
DS-200049,Anne Petty,pdavis@example.com,(101) 181-5626,2025-10-05,Color Treatment,48,1272.49,1718,No,No,DaySmart,2025-11-24,10,3,1778.97,2025-11-24,LIVE,2025
DS-200050,Tina Woodward,allison03@example.com,(530) 069-0794,2025-12-26,Highlights,41,3166.39,495,No,No,DaySmart,2025-06-02,9,3,1369.96,2025-06-02,LIVE,2025
DS-200051,Austin Reyes,cole04@example.net,(787) 961-4021,2025-10-20,Highlights,36,453.0,1313,Yes,No,DaySmart,2025-04-07,12,2,2124.23,2025-04-07,LIVE,2025
DS-200052,Tami Payne,cynthiaferrell@example.net,(575) 211-3438,2024-06-13,Facial,34,2816.07,1910,Yes,Yes,DaySmart,2025-06-21,5,0,905.24,2025-06-21,LIVE,2025
DS-200053,Christian Hicks,stantonsummer@example.net,(109) 447-1067,2026-04-10,Haircut,77,2338.67,326,No,Yes,DaySmart,2026-02-03,8,0,1716.42,2026-02-03,LIVE,2026
DS-200054,Juan Williams,chadcosta@example.com,(821) 075-8389,2024-08-03,Blowout,52,3480.05,1748,Yes,No,DaySmart,2019-02-06,3,0,621.65,2019-02-06,LIVE,2019
DS-200055,Johnny Gonzales,gwatts@example.com,(328) 183-3056,2024-05-03,Facial,12,1757.18,1558,Yes,No,DaySmart,2023-07-07,7,1,1029.55,2023-07-07,LIVE,2023
